regulator,Source,Category
rprA,RegulonDB_sRNA,sRNA
RpsA,Ecocyc,Translation
RpsB,Ecocyc,Translation
RpsD,Ecocyc,Translation
RpsG,Ecocyc,Translation
RpsH,Ecocyc,Translation
RpsO,Ecocyc,Translation
RpsR-RpsF,Ecocyc,Translation
rseX,RegulonDB_sRNA,sRNA
RstA,RegulonDB_TF,TF
RtcR,RegulonDB_TF,TF
RutR,RegulonDB_TF,TF
rybB,RegulonDB_sRNA,sRNA
rydC,RegulonDB_sRNA,sRNA
ryfA,RegulonDB_sRNA,sRNA
ryfD,RegulonDB_sRNA,sRNA
ryhB,RegulonDB_sRNA,sRNA
SAM,Ecocyc,ligand of riboswitch
SdhX,Ecocyc,sRNA
SdiA,RegulonDB_TF,TF
SdsN,Ecocyc,sRNA
sdsR,Ecocyc,sRNA
SelB-Sec-tRNA,Ecocyc,translation
SgrR,RegulonDB_TF,TF
sgrS,RegulonDB_sRNA,sRNA
SlyA,RegulonDB_TF,TF
sokB,RegulonDB_sRNA,sRNA
sokC,RegulonDB_sRNA,sRNA
SoxR,RegulonDB_TF,TF
SoxS,RegulonDB_TF,TF
Spermidine,Ecocyc,Translation
spf,RegulonDB_sRNA,sRNA
SraG,Ecocyc,sRNA
SrlR,RegulonDB_TF,TF
SrmB,Ecocyc,RNA helicase
StpA,RegulonDB_TF,TF
SutR,RegulonDB_TF,TF
symR,RegulonDB_sRNA,sRNA
TdcA,RegulonDB_TF,TF
TdcR,RegulonDB_TF,TF
Thiamine diphosphate,Ecocyc,ligand of riboswitch
Thr-tRNA,Ecocyc,
ThrS,Ecocyc,Translation
TorR,RegulonDB_TF,TF
TreR,RegulonDB_TF,TF
Trp-tRNA,Ecocyc,
TrpR,RegulonDB_TF,TF
TtdR,RegulonDB_TF,TF
TyrR,RegulonDB_TF,TF
UhpA,RegulonDB_TF,TF
UidR,RegulonDB_TF,TF
UlaR,RegulonDB_TF,TF
UTP,Ecocyc,
UvrY,RegulonDB_TF,TF
UxuR,RegulonDB_TF,TF
Val-tRNA,Ecocyc,
XapR,RegulonDB_TF,TF
XylR,RegulonDB_TF,TF
XynR,Ecocyc,TF
YafC,Gao2021,TF
YahB,Gao2021,TF
YbaO,Gao2021,TF
YbaQ,Gao2021,TF
YbcM,Gao2021,TF
YbdO,Gao2021,TF
YbeF,Gao2021,TF
YbhD,Gao2021,TF
YbiH,Gao2021,TF
YcaN,Gao2021,TF
YcfQ,Gao2021,TF
YciT,Gao2021,TF
YcjW,Gao2021,TF
YdcI,Gao2021,TF
YdcN,Gao2021,TF
YdcR,Gao2021,TF
YddM,Gao2021,TF
YdeO,RegulonDB_TF,TF
YdfH,Ecocyc,TF
YdhB,Gao2021,TF
YdiP,Gao2021,TF
YeaM,Gao2021,TF
YebK,Gao2021,TF
YedW,Gao2021,TF
YefM,RegulonDB_TF,TF
YefM-YoeB,RegulonDB_TF,TF
YehT,Gao2021,TF
YeiE,Gao2021,TF
YeiL,RegulonDB_TF,TF
YfeC,Gao2021,TF
YfeD,Gao2021,TF
YfiE,Gao2021,TF
YgaV,Gao2021,TF
YgbI,Gao2021,TF
YgfI,Gao2021,TF
YgiV,Ecocyc,TF
YhaJ,RegulonDB_TF,TF
YheO,Gao2021,TF
YhjB,Gao2021,TF
YhjC,Gao2021,TF
YiaJ,Gao2021,TF
YiaU,Gao2021,TF
YidL,Gao2021,TF
YidZ,Gao2021,TF
YieP,PMID:33149261,TF
YihL,Gao2021,TF
YihW,Gao2021,TF
YjhI,Gao2021,TF
YjjQ,RegulonDB_TF,TF
YneJ,Gao2021,TF
YnfL,Gao2021,TF
YqhC,Gao2021,TF
ZntR,RegulonDB_TF,TF
ZraR,RegulonDB_TF,TF
Zur,RegulonDB_TF,TF
