Gene_Name,Bnb,Product,ECKnb,Names,Object_ID,Directly_Activates_IDs,Directly_Inhibites_IDs
G6505,b0984,G6505-MONOMER,ECK0975,gfcD@ymcA@b0984@ECK0975,G6505,,
EG12099,b4147,MONOMER0-4200 // EG12099-MONOMER,ECK4141,efp@b4147@ECK4141,EG12099,,
EG11289,b2147,EG11289-MONOMER,ECK2140,preA@yeiA@b2147@ECK2140,EG11289,,
G6290,b0530,G6290-MONOMER,ECK0523,sfmA@b0530@ECK0523,G6290,,
EG10688,b3403,PEPCARBOXYKIN-MONOMER,ECK3390,pck@pckA@b3403@ECK3390,EG10688,,
G6405,b0788,G6405-MONOMER,ECK0777,ybhN@b0788@ECK0777,G6405,,
EG10810,b2780,CTPSYN-MONOMER,ECK2774,pyrG@b2780@ECK2774,EG10810,,
G6123,b0248,G6123-MONOMER,ECK0250,yafX@b0248@ECK0250,G6123,,
G7877,b4243,G7877-MONOMER,ECK4238,ridA@yjgF@b4243@ECK4238,G7877,,
EG10958,b4062,PD00406,ECK4054,soxS@b4062@ECK4054,EG10958,EG10131@EG11689@G7667@G6247@EG10035@G7654@EG12656@EG10570@EG11411@EG10207@G6700@G6701@G6396@EG50005@EG11325@EG11426@EG11425@EG11165@EG11164@EG11009@EG10702@EG10787@G7061@EG10318@G0-10580@EG10359@G6447@EG10852@EG11261@EG12842@EG11422@EG12697@EG11331@EG11221@EG11435@EG11434@EG11599@EG10358@EG10953@EG30063@EG10651@EG10628@G6492@G6491@G6490@EG10754@EG11703@EG11704,EG11124@EG11366@EG10958
G7293,b2463,MALIC-NADP-MONOMER,ECK2458,maeB@ypfF@b2463@ECK2458,G7293,,
G7103,b2058,G7103-MONOMER,ECK2052,wcaB@b2058@ECK2052,G7103,,
EG11265,b0910,CMPKI-MONOMER,ECK0901,cmk@ycaF@mssA@ycaG@b0910@ECK0901,EG11265,,
G6258,b0482,G6258-MONOMER,ECK0476,ybaP@b0482@ECK0476,G6258,,
EG10941,b3591,EG10941-MONOMER,ECK3580,selA@fdhA@b3591@ECK3580,EG10941,,
G6731,b1412,G6731-MONOMER,ECK1405,azoR@acpD@b1412@ECK1405,G6731,,
EG10314,b4319,EG10314-MONOMER,ECK4310,fimG@b4319@ECK4310,EG10314,,
EG10948,b1479,MALIC-NAD-MONOMER,ECK1473,maeA@sfcA@b1479@ECK1473,EG10948,,
G26,,MONOMER0-4223,,dgd,G26,,
EG10634,b0675,EG10634-MONOMER,ECK0663,umpH@nagD@b0675@ECK0663,EG10634,,
EG12338,b0267,EG12338-MONOMER,ECK0268,yagA@b0267@ECK0268,EG12338,,
EG12318,b0123,EG12318-MONOMER,ECK0122,cueO@yacK@b0123@ECK0122,EG12318,,
EG10681,b3961,PD00214,ECK3953,oxyR@momR@mor@b3961@ECK3953,EG10681,EG11073@EG12189@G7173@G0-10474@EG10584@EG10591@G7061@G7017@EG12368@G7018@EG10754@G6456@G6457@EG31116@G6333@G7254@EG10412@G0-10580@EG10359@EG11887@G6905@G6906@G6907@G6908@G6909@EG11378@EG11415@EG11384@EG11385@EG12244@EG10417@EG10511@EG10431,G7173@EG11404@EG10681@G6447@EG10852@EG11261@EG12842@EG12563@EG20248@EG11066@G7949@G0-8905@G7080
G7502,b2883,G7502-MONOMER,ECK2879,guaD@ygfP@b2883@ECK2879,G7502,,
EG10821,b2217,MONOMER0-4556 // PHOSPHO-RCSB // RCSB-MONOMER,ECK2210,rcsB@b2217@ECK2210,EG10821,G0-16690@G7347@G7348@EG12341@EG11897@G0-8863@G6789@G6790@G6786@EG11490@EG10680@EG11508@G6776@G0-8914@EG11495@EG11400@EG11399@EG11398@EG12690@G6465@EG10679@G6791@EG10347@EG10339@G6956@G6730@G6729@G6728@G6727@G6231@EG11707@G7577@G7566@G7026@EG10656@EG11992@EG10531@EG10114@EG10115@EG10116@EG12228@EG10090@EG11889@EG11890@EG10131@EG10132@EG12462@EG12243@EG50009@G7103@G7104@G7105@G7106@G7107@EG10820@EG11926@EG11925@EG11924@EG11923,EG12243@EG50009@EG10319@EG10320@G6543@G6544@G6545@G6546
EG11819,b1232,FORMYLTHFDEFORMYL-MONOMER,ECK1227,purU@ychI@tgs@b1232@ECK1227,EG11819,,
G0-17102,b4827,RNA0-420,ECK4684,fliX@b4827@ECK4684,G0-17102,,
EG10785,b1204,EG10785-MONOMER,ECK1192,pth@rap@b1204@ECK1192,EG10785,,
EG10138,b3918,CDPDIGLYPYPHOSPHA-MONOMER,ECK3910,cdh@b3918@ECK3910,EG10138,,
G7640,b3145,G7640-MONOMER,ECK3133,yraK@b3145@ECK3133,G7640,,
EG10374,b3447,MONOMER0-4195 // MONOMER0-4196 // EG10374-MONOMER,ECK3431,ggt@b3447@ECK3431,EG10374,,
G0-17079,,RNA0-408,,ipeX,G0-17079,,
EG10650,b2518,NUCLEOSIDE-DIP-KIN-MONOMER,ECK2514,ndk@b2518@ECK2514,EG10650,,
EG11302,b1573,EG11302-MONOMER,ECK1567,ydfC@b1573@ECK1567,EG11302,,
G7721,b3358,G7721-MONOMER,ECK3346,yhfK@b3358@ECK3346,G7721,,
EG11111,b0880,EG11111-MONOMER,ECK0871,cspD@ybjA@cspH@b0880@ECK0871,EG11111,,
EG10283,b4232,F16B-MONOMER,ECK4227,fbp@fdp@b4232@ECK4227,EG10283,,
G7100,b2055,G7100-MONOMER,ECK2049,wcaE@b2055@ECK2049,G7100,,
EG10774,b1207,PRPPSYN-MONOMER,ECK1195,prs@dnaR@prsA@b1207@ECK1195,EG10774,,
G0-16680,b4718,RNA0-392,ECK4575,gadF@b4718@ECK4575,G0-16680,,
G6701,b1378,G6701-MONOMER,ECK1374,ydbK@pfo@b1378@ECK1374,G6701,,
EG10529,b2569,EG10529-MONOMER,ECK2567,lepA@b2569@ECK2567,EG10529,,
EG12363,b3043,EG12363-MONOMER,ECK3034,ygiL@b3043@ECK3034,EG12363,,
EG11517,b3925,EG11517-MONOMER,ECK3917,glpX@b3925@ECK3917,EG11517,,
G0-10647,b4680,MONOMER0-2874,ECK4495,ypdK@b4680@ECK4495,G0-10647,,
EG10965,b3648,GUANYL-KIN-MONOMER,ECK3638,gmk@spoR@b3648@ECK3638,EG10965,,
EG10778,b1306,EG10778-MONOMER,ECK1301,pspC@b1306@ECK1301,EG10778,,
EG12172,b1103,EG12172-MONOMER,ECK1089,hinT@ycfF@b1103@ECK1089,EG12172,,
EG11929,b4046,EG11929-MONOMER,ECK4038,zur@yjbK@znuR@b4046@ECK4038,EG11929,,G6167@G0-10434@G6615@G7061@EG12368@G7018@G7017
EG11239,b0766,EG11239-MONOMER,ECK0755,ybhA@b0766@ECK0755,EG11239,,
G7096,b2045,G7096-MONOMER,ECK2039,wcaK@b2045@ECK2039,G7096,,
EG10032,b0474,ADENYL-KIN-MONOMER,ECK0468,adk@dnaW@plsA@b0474@ECK0468,EG10032,,
EG12850,b2233,EG12850-MONOMER,ECK2225,yfaL@yfaF@yfaK@yfaJ@b2233@ECK2225,EG12850,,
EG10504,b0884,EG10504-MONOMER,ECK0875,infA@bypA1@b0884@ECK0875,EG10504,,
G7599,b3080,G7599-MONOMER,ECK3070,ygjK@b3080@ECK3070,G7599,,
EG10311,b4317,EG10311-MONOMER,ECK4308,fimD@fimD_1@fimD_2@b4317@ECK4308,EG10311,,
G7040,b1932,G7040-MONOMER,ECK1931,yedL@b1932@ECK1931,G7040,,
EG12329,b0148,EG12329-MONOMER,ECK0147,hrpB@yadO@b0148@ECK0147,EG12329,,
EG11646,b2166,EG11646-MONOMER,ECK2159,psuK@yeiC@pscK@b2166@ECK2159,EG11646,,
G7381,b2646,G7381-MONOMER,ECK2643,ypjF@b2646@ECK2643,G7381,,
G6580,b1134,G6580-MONOMER,ECK1120,nudJ@ymfB@b1134@ECK1120,G6580,,
G7189,b2295,G7189-MONOMER,ECK2289,yfbV@b2295@ECK2289,G7189,,
EG11685,b3656,EG11685-MONOMER,ECK3646,yicI@b3656@ECK3646,EG11685,,
